QuestionLink,Title,Score,Tags,
"https://stackoverflow.com/questions/63582590","Why do we call .detach() before calling .numpy() on a Pytorch Tensor?","61","<numpy><pytorch><autodiff>","pytorch"
"https://stackoverflow.com/questions/68166721","CUDA error: device-side assert triggered on Colab","46","<pytorch><google-colaboratory><tensor>","pytorch"
"https://stackoverflow.com/questions/64621585","AdamW and Adam with weight decay","40","<python><pytorch>","pytorch"
"https://stackoverflow.com/questions/64089854","Pytorch detection of CUDA","33","<python><pytorch>","pytorch"
"https://stackoverflow.com/questions/71998978","early stopping in PyTorch","27","<python><deep-learning><neural-network><pytorch><early-stopping>","pytorch"
"https://stackoverflow.com/questions/66516388","AttributeError: module 'torchtext.data' has no attribute 'Field'","27","<python><pytorch>","pytorch"
"https://stackoverflow.com/questions/64156202","Add dense layer on top of Huggingface BERT model","22","<python><python-3.x><neural-network><pytorch><huggingface-transformers>","pytorch"
"https://stackoverflow.com/questions/74289077","AttributeError: '_MultiProcessingDataLoaderIter' object has no attribute 'next'","21","<python><pytorch><torch><pytorch-dataloader>","pytorch"
"https://stackoverflow.com/questions/63263292","What is the difference between Tensor.size and Tensor.shape in PyTorch?","21","<pytorch>","pytorch"
"https://stackoverflow.com/questions/62907815","PyTorch: What is the difference between tensor.cuda() and tensor.to(torch.device(""cuda:0""))?","20","<python><pytorch><gpu>","pytorch"
"https://stackoverflow.com/questions/70110429","Pytorch: RuntimeError: result type Float can't be cast to the desired output type Long","20","<python><deep-learning><pytorch>","pytorch"
"https://stackoverflow.com/questions/65192475","PyTorch LogSoftmax vs Softmax for CrossEntropyLoss","20","<pytorch><cross-entropy>","pytorch"
"https://stackoverflow.com/questions/66600362","RuntimeError: CUDA error: CUBLAS_STATUS_EXECUTION_FAILED when calling `cublasSgemm( handle)` with GPU only","20","<python><pytorch><gpu><conv-neural-network>","pytorch"
"https://stackoverflow.com/questions/66488807","PyTorch model input shape","18","<python><deep-learning><pytorch><conv-neural-network>","pytorch"
"https://stackoverflow.com/questions/63751883","Using GPU inside docker container - CUDA Version: N/A and torch.cuda.is_available returns False","17","<docker><docker-compose><pytorch><nvidia-docker>","pytorch"
"https://stackoverflow.com/questions/63654232","pytorch DataLoader extremely slow first epoch","15","<python><multiprocessing><pytorch><dataloader>","pytorch"
"https://stackoverflow.com/questions/65445174","What is the difference between an Embedding Layer with a bias immediately afterwards and a Linear Layer in PyTorch","14","<python><oop><deep-learning><pytorch><fast-ai>","pytorch"
"https://stackoverflow.com/questions/67456368","Pytorch getting RuntimeError: Found dtype Double but expected Float","14","<python><deep-learning><casting><pytorch><precision>","pytorch"
"https://stackoverflow.com/questions/64635630","Pytorch RuntimeError: expected scalar type Float but found Byte","14","<python><python-3.x><machine-learning><pytorch><pattern-recognition>","pytorch"
"https://stackoverflow.com/questions/63426545","best way of tqdm for data loader","14","<python><pytorch><tqdm>","pytorch"
"https://stackoverflow.com/questions/65988678","Difference between versions 9.2,10.1,10.2,11.0 of cuda for PyTorch 1.7","13","<pytorch>","pytorch"
"https://stackoverflow.com/questions/65710713","ImportError: libc10.so: cannot open shared object file: No such file or directory","13","<python><pytorch>","pytorch"
"https://stackoverflow.com/questions/63785319","PyTorch torch.no_grad() versus requires_grad=False","13","<python><machine-learning><pytorch><bert-language-model><huggingface-transformers>","pytorch"
"https://stackoverflow.com/questions/69148622","Difference between autograd.grad and autograd.backward?","12","<pytorch><gradient><gradient-descent><backpropagation><autograd>","pytorch"
"https://stackoverflow.com/questions/68606661","What is difference between nn.Module and nn.Sequential","12","<python><pytorch>","pytorch"
"https://stackoverflow.com/questions/72779926","GUnicorn + CUDA: Cannot re-initialize CUDA in forked subprocess","12","<python><pytorch><python-multiprocessing><gunicorn>","pytorch"
"https://stackoverflow.com/questions/69994731","What is the difference between cuda.amp and model.half()?","11","<pytorch><nvidia>","pytorch"
"https://stackoverflow.com/questions/66389707","Why embed dimemsion must be divisible by num of heads in MultiheadAttention?","11","<python-3.x><pytorch><transformer-model><attention-model>","pytorch"
"https://stackoverflow.com/questions/65205506","LSTM Autoencoder problems","11","<python><neural-network><pytorch><lstm><autoencoder>","pytorch"
"https://stackoverflow.com/questions/66074684","""RuntimeError: expected scalar type Double but found Float"" in Pytorch CNN training","11","<python><deep-learning><pytorch><tensor><scalar>","pytorch"
"https://stackoverflow.com/questions/67096544","What output_padding does in nn.ConvTranspose2d?","11","<pytorch><conv-neural-network><convolution><deconvolution>","pytorch"
"https://stackoverflow.com/questions/65327247","load pytorch dataloader into GPU","10","<python><pytorch><gpu><dataloader>","pytorch"
"https://stackoverflow.com/questions/64206070","PyTorch - RuntimeError: [enforce fail at inline_container.cc:209] . file not found: archive/data.pkl","10","<python><pytorch><pickle>","pytorch"
"https://stackoverflow.com/questions/69797614","Indexing a tensor with None in PyTorch","10","<indexing><syntax><pytorch><tensor>","pytorch"
