Bug ID,Architecture,Reproducible?,Code Snippet Present?,System Configuration Present?,Data Description Present?,Key Actions,Time Taken,Time for the Accepted Answer,Modification Type (Major/Minor),Type of Bug,Effort Level,Framework
55328966,MLP,Yes,Yes,No,Yes,"Generated the requirements file based on the code, and corrected the path in read_csv method, removed the incorrect commands (!git clone) from .py file, and executed them individually, migrated the optimizer from Tensorflow v1 to v2.",36,10144 minutes,Minor,Training Bug,Easy,TF + Keras
59278771,MLP,Yes,Yes,No,Yes,"Generated the requirements file, downloaded the dataset, and corrected the path in read_csv() method.",24,7 minutes,Minor,Model Bug,Easy,TF + Keras
59325381,CNN,Yes,Yes,No,Yes,Generated the requirements file,36,16 minutes,Minor,Training Bug,Easy,TF + Keras
50920908,-,Yes,No,No,No,"Wrote the complete code snippet, using Iris Dataset and defined a shallow neural network for predictions. Initialized the hyperparameters and the neural network layers. Modified the given code snippet to eliminate some unnecessary code.",50,67 minutes,Major,API Bug,Easy,TF + Keras
48493755,MLP,No,No,No,No,"Not reproducible using Tensorflow v2.x and Python version 3.10. Cross-checked with Mehdi's implementation, and the code provided works for latest Tensorflow version. The Tensorflow version in requirements.txt is not supported by pip anymore, so I think this bug cannot be reproduced.",480,100 minutes,-,Training Bug,,TF + Keras
61706535,MLP,Yes,Yes,No,Yes,"At first, couldn't find the related dataset, tried reproducing the bug with Iris and Sonar Data, but didn't work. So, used random Numpy arrays as the features and target variable and was able to reproduce the bug.",60,123 minutes,Major,API Bug,Medium,TF + Keras
51421885,MLP,Yes,Yes,No,Yes,"Missing import, created the CSV from the text, and could reproduce the bug with the exact code snippet provided (without any modifications).",40,638 minutes,Minor,Training Bug,Easy,TF + Keras
53119432,CNN,No,No,No,No,"Couldn't reproduce this bug, because even if the input shape is (24, 1) as specified in the bug. The new TF version seems to have fixed this issue, where even if the shape is 2 dimensions, it extrapolates with None, and allows for processing. Cross-checked Mehdi's implementation, and his code also seems to be working on my machine.",240,53 minutes,-,Tensor and Input Bug,,TF + Keras
58844149,CNN,No,Yes,No,No,"I couldn't reproduce this bug because the generator is deprecated. The code snippet provided encounters an error when using numpy arrays as images and the MNIST dataset. The logs, which contain the details of the error, are present in the folder.",240,12 minutes,-,Tensor and Input Bug,,TF + Keras
56103207,CNN,Yes,Yes,No,Yes,"Downloaded the data, parsed it into a .npy file, and changed the softmax layer size from 4 to 5 (compiler error, when the softmax layer size is 4)",70,47 minutes,Minor,Training Bug,Easy,TF + Keras
55731589,CNN,Yes,Yes,No,No,"Generated a random input tensor, of the size mentioned in the error message.",24,977 minutes,Minor,Model Bug,Easy,TF + Keras
51763983,LSTM,No,Yes,No,No,"Couldn't reproduce this bug, even with the input generated with correct shape. Cross-checked Mehdi's code, and couldn't reproduce the bug with his script as well.",240,68 minutes,-,Model Bug,,TF + Keras
