Architecture,Reproducible?,Code Snippet Present?,System Configuration Present?,Data Description Present?,Type of Bug,Framework,Input Data Generation,Neural Network Definition,Obsolete Parameter Removal,Framework Migration,Dataset Procurement,Downloading Models and Tokenizers,Logging,Import Addition and Dependency Resolution,Compiler Error Resolution,Hyperparameter Initialization
MLP,Yes,Yes,No,Yes,Training Bug,TF + Keras,1,0,0,1,0,0,0,1,0,0
MLP,Yes,Yes,No,Yes,Model Bug,TF + Keras,0,1,0,0,0,0,0,1,0,0
CNN,Yes,Yes,No,Yes,Training Bug,TF + Keras,0,0,0,0,0,0,0,1,0,0
-,Yes,No,No,No,API Bug,TF + Keras,0,1,0,0,1,0,0,1,0,1
MLP,Yes,Yes,No,Yes,API Bug,TF + Keras,1,0,0,0,1,0,0,1,0,0
MLP,Yes,Yes,No,Yes,Training Bug,TF + Keras,1,0,0,0,0,0,0,1,0,0
CNN,Yes,Yes,No,Yes,Training Bug,TF + Keras,0,1,0,0,1,0,0,0,1,0
CNN,Yes,Yes,No,No,Model Bug,TF + Keras,1,1,0,0,0,0,0,1,0,0
CNN,Yes,Yes,No,Yes,Training Bug,TF + Keras,1,0,0,0,1,0,1,0,0,0
CNN,Yes,Yes,No,Yes,Model Bug,TF + Keras,0,1,1,1,1,0,1,0,0,1
CNN,Yes,Yes,No,Yes,Training Bug,TF + Keras,1,0,0,1,0,0,0,1,0,0
CNN,Yes,Yes,No,Yes,Tensor and Input Bug,TF + Keras,1,0,0,0,0,0,0,1,0,1
MLP,Yes,Yes,No,Yes,Training Bug,TF + Keras,1,0,0,1,0,0,0,0,0,0
MLP,Yes,Yes,No,Yes,Training Bug,TF + Keras,0,0,0,0,0,0,0,0,0,0
CNN,Yes,No,No,Yes,Tensor and Input Bug,TF + Keras,1,1,0,0,0,0,1,0,0,1
CNN,Yes,Yes,No,Yes,Tensor and Input Bug,TF + Keras,0,0,0,1,0,0,0,0,0,0
CNN,Yes,Yes,No,Yes,Tensor and Input Bug,TF + Keras,1,0,0,0,0,0,0,1,0,0
MLP,Yes,Yes,No,Yes,Tensor and Input Bug,TF + Keras,1,0,1,0,0,0,1,0,1,1
CNN,Yes,Yes,No,Yes,Training Bug,TF + Keras,1,0,0,0,0,0,0,0,0,0
-,Yes,No,Yes,No,API Bug,TF + Keras,0,0,1,1,0,0,0,0,0,0
MLP,Yes,Yes,No,Yes,Model Bug,TF + Keras,1,1,0,1,1,0,1,1,0,0
MLP,Yes,Yes,No,Yes,Training Bug,TF + Keras,0,0,0,1,1,0,1,0,0,0
MLP,Yes,Yes,No,Yes,Training Bug,TF + Keras,0,0,0,1,0,0,0,1,0,0
MLP,Yes,Yes,No,Yes,Training Bug,TF + Keras,1,0,0,1,0,0,1,0,0,0
CNN,Yes,Yes,No,Yes,Training Bug,TF + Keras,0,0,0,1,0,0,0,0,0,1
MLP,Yes,Yes,No,Yes,Training Bug,TF + Keras,1,0,0,1,1,0,0,0,0,0
MLP,Yes,Yes,No,Yes,Training Bug,TF + Keras,1,0,0,1,1,0,0,0,1,1
MLP,Yes,Yes,No,Yes,Training Bug,TF + Keras,1,0,0,0,0,0,1,0,0,0
MLP,Yes,Yes,No,Yes,Model Bug,TF + Keras,0,0,0,0,1,0,1,0,0,0
VGG16,Yes,Yes,No,Yes,Model Bug,TF + Keras,0,1,0,0,0,0,1,1,0,1
-,Yes,Yes,No,Yes,Tensor and Input Bug,PyTorch,0,0,0,0,0,0,0,0,0,0
-,Yes,Yes,No,No,Training Bug,PyTorch,0,1,1,0,0,0,0,1,1,1
MLP,Yes,Yes,No,No,Tensor and Input Bug,PyTorch,1,0,0,0,0,0,0,1,1,0
MLP,Yes,Yes,No,No,Training Bug,PyTorch,1,0,1,0,0,0,1,1,1,0
LSTM,Yes,Yes,No,No,Training Bug,TF + Keras,1,0,0,0,0,0,0,0,0,1
