State Abbr,State fips code,State,County fips code,County,State-County,Total population,Median age,% BachelorsDeg or higher,Unemployment rate,Per capita income,Total households,Average household size,% Owner occupied housing,% Renter occupied housing,% Vacant housing,Median home value,Population growth 2010 to 2015 annual,House hold growth 2010 to 2015 annual,Per capita income growth 2010 to 2015 annual,County Party Winner,County Winner Votes,County Total Votes,% Votes,Winner
AL,1,Alabama,1119,Sumter County,AL Sumter,13252,"34,5","15,0","15,8","13012,0",5222,"2,47","53,7","20,7","25,6","56642,0","-1,16","-1,03","0,69",Dem,5420,7025,"77,15302491103203",Barack Obama
AL,1,Alabama,1131,Wilcox County,AL Wilcox,12943,"35,2","10,2","30,3","11940,0",4921,"2,6","60,3","12,8","26,9","59121,0","0,19","0,38","0,81",Dem,4867,6547,"74,33939208797922",Barack Obama
AL,1,Alabama,1001,Autauga County,AL Autauga,51766,"36,5","20,4","9,5","22484,0",19554,"2,63","71,1","16,8","12,1","114645,0","1,36","1,52","0,93",GOP,17366,23909,"72,63373624994772",Mitt Romney
AL,1,Alabama,1003,Baldwin County,AL Baldwin,186407,"41,8","25,8","10,6","23549,0",75067,"2,45","55,8","14,3","29,9","159768,0","2,12","2,24","0,45",GOP,65772,84988,"77,3897491410552",Mitt Romney
AL,1,Alabama,1007,Bibb County,AL Bibb,21801,"36,6","8,6","12,3","16824,0",8038,"2,55","69,1","17,3","13,6","80587,0","0,25","0,45","0,67",GOP,6131,8391,"73,06638064593017",Mitt Romney
AL,1,Alabama,1009,Blount County,AL Blount,57566,"38,8","11,2","11,2","18861,0",22137,"2,57","74,7","15,0","10,2","108324,0","1,3","1,39","0,43",GOP,20741,23980,"86,4929107589658",Mitt Romney
AL,1,Alabama,1013,Butler County,AL Butler,20159,"40,6","10,5","17,1","16437,0",8138,"2,44","58,9","18,5","22,6","67500,0","-0,66","-0,52","0,69",GOP,5081,9483,"53,580090688600656",Mitt Romney
AL,1,Alabama,1015,Calhoun County,AL Calhoun,113252,"40,0","17,6","12,4","19893,0",46932,"2,36","62,4","23,6","14,1","98555,0","0,16","0,31","0,59",GOP,30272,46240,"65,46712802768167",Mitt Romney
AL,1,Alabama,1017,Chambers County,AL Chambers,34772,"39,9","11,5","18,7","17584,0",14227,"2,41","61,9","19,9","18,1","79071,0","-0,46","-0,31","0,6",GOP,7596,14562,"52,16316440049444",Mitt Romney
AL,1,Alabama,1019,Cherokee County,AL Cherokee,24277,"42,8","11,7","11,3","18185,0",10166,"2,35","51,2","11,4","37,5","88250,0","-0,25","-0,08","0,6",GOP,7494,9761,"76,7749206023973",Mitt Romney
AL,1,Alabama,1021,Chilton County,AL Chilton,42721,"38,4","11,9","11,0","18152,0",16877,"2,51","69,3","15,2","15,5","99149,0","0,46","0,58","0,49",GOP,13910,17434,"79,78662383847654",Mitt Romney
AL,1,Alabama,1023,Choctaw County,AL Choctaw,14318,"40,7","11,5","14,0","16850,0",6000,"2,36","62,4","9,8","27,7","64271,0","-1,06","-0,87","0,73",GOP,4150,7965,"52,102950408035156",Mitt Romney
AL,1,Alabama,1025,Clarke County,AL Clarke,26560,"37,7","14,1","19,3","16680,0",10381,"2,52","63,5","15,0","21,5","72587,0","-0,55","-0,41","0,52",GOP,7463,13827,"53,97410862804657",Mitt Romney
AL,1,Alabama,1027,Clay County,AL Clay,13878,"41,0","7,9","17,0","16694,0",5806,"2,34","62,6","18,1","19,2","79111,0","-0,33","-0,16","0,59",GOP,4802,6640,"72,31927710843374",Mitt Romney
AL,1,Alabama,1029,Cleburne County,AL Cleburne,14874,"40,5","11,1","10,0","17641,0",6060,"2,44","71,3","17,2","11,5","86748,0","0,59","0,74","0,49",GOP,5269,6302,"83,60837829260552",Mitt Romney
AL,1,Alabama,1031,Coffee County,AL Coffee,48378,"39,4","22,3","8,0","20814,0",19935,"2,39","62,8","25,0","12,2","102960,0","1,09","1,26","0,51",GOP,14638,19715,"74,24803449150393",Mitt Romney
AL,1,Alabama,1033,Colbert County,AL Colbert,54715,"41,7","16,3","10,6","19934,0",22984,"2,35","64,8","20,7","14,4","95389,0","-0,06","0,09","0,53",GOP,13931,23374,"59,600410712757764",Mitt Romney
AL,1,Alabama,1037,Coosa County,AL Coosa,11344,"40,7","9,6","15,1","17365,0",4620,"2,44","59,1","11,0","29,8","74156,0","-0,51","-0,34","0,58",GOP,3028,5243,"57,753194735838264",Mitt Romney
AL,1,Alabama,1039,Covington County,AL Covington,36768,"42,7","14,4","10,5","18030,0",15705,"2,31","61,7","17,8","20,5","74875,0","-0,21","-0,08","0,51",GOP,12148,15415,"78,806357444048",Mitt Romney
AL,1,Alabama,1041,Crenshaw County,AL Crenshaw,13812,"41,6","13,7","9,4","16619,0",5803,"2,35","60,3","18,2","21,5","74181,0","0,0","0,15","0,65",GOP,4326,6411,"67,47777257838091",Mitt Romney
AL,1,Alabama,1043,Cullman County,AL Cullman,82529,"40,0","13,9","10,0","18858,0",32633,"2,5","65,7","18,5","15,8","107453,0","0,64","0,63","0,31",GOP,27930,33178,"84,18228946892519",Mitt Romney
AL,1,Alabama,1045,Dale County,AL Dale,48162,"35,8","15,9","12,7","18142,0",19090,"2,44","53,6","29,0","17,4","87323,0","-0,17","-0,01","0,43",GOP,13105,18551,"70,64309201660288",Mitt Romney
AL,1,Alabama,1049,DeKalb County,AL DeKalb,68813,"38,7","9,9","13,2","17448,0",26718,"2,54","68,3","18,2","13,4","88039,0","0,46","0,44","0,34",GOP,18316,23842,"76,82241422699438",Mitt Romney
AL,1,Alabama,1051,Elmore County,AL Elmore,80859,"37,0","18,9","10,7","20938,0",28059,"2,67","73,6","17,0","9,4","123426,0","1,55","1,66","1,03",GOP,26223,35440,"73,99266365688487",Mitt Romney
AL,1,Alabama,1053,Escambia County,AL Escambia,37531,"38,8","12,5","14,2","17405,0",14296,"2,4","63,3","18,9","17,8","77118,0","-0,32","-0,18","0,68",GOP,9263,14832,"62,45280474649407",Mitt Romney
AL,1,Alabama,1055,Etowah County,AL Etowah,104228,"40,7","15,5","12,3","19557,0",42890,"2,38","65,2","22,4","12,4","90175,0","0,12","0,25","0,52",GOP,29102,42490,"68,49140974346905",Mitt Romney
AL,1,Alabama,1057,Fayette County,AL Fayette,17690,"41,2","11,0","14,8","17142,0",7395,"2,35","65,5","19,0","15,5","78590,0","-0,46","-0,3","0,56",GOP,6034,7912,"76,26390293225481",Mitt Romney
AL,1,Alabama,1059,Franklin County,AL Franklin,30918,"39,3","11,8","11,7","16710,0",12305,"2,48","63,7","21,5","14,8","83439,0","-0,11","-0,06","0,51",GOP,7567,10859,"69,6841329772539",Mitt Romney
AL,1,Alabama,1061,Geneva County,AL Geneva,26158,"42,5","10,4","12,3","16850,0",10914,"2,37","66,8","16,1","17,1","80307,0","0,01","0,15","0,58",GOP,9173,11318,"81,04788831949108",Mitt Romney
AL,1,Alabama,1067,Henry County,AL Henry,16876,"41,4","16,7","11,7","18149,0",6974,"2,39","63,3","15,1","21,6","86883,0","0,13","0,3","0,76",GOP,5605,8700,"64,42528735632185",Mitt Romney
AL,1,Alabama,1069,Houston County,AL Houston,100902,"38,7","21,0","11,1","20923,0",40643,"2,45","61,2","26,2","12,6","110071,0","1,42","1,41","0,45",GOP,29214,41843,"69,8181296752145",Mitt Romney
AL,1,Alabama,1071,Jackson County,AL Jackson,53366,"40,4","12,4","11,8","19048,0",22068,"2,39","66,9","18,8","14,3","85738,0","-0,16","0,0","0,49",GOP,14422,20555,"70,16297737776696",Mitt Romney
AL,1,Alabama,1075,Lamar County,AL Lamar,14368,"41,1","9,3","14,5","16838,0",6018,"2,35","58,5","17,2","24,3","68864,0","-0,98","-0,83","0,54",GOP,5453,7159,"76,16985612515714",Mitt Romney
AL,1,Alabama,1077,Lauderdale County,AL Lauderdale,89528,"40,5","21,1","10,5","20979,0",37224,"2,35","63,0","23,0","14,0","108954,0","0,18","0,28","0,54",GOP,23902,36908,"64,76102741952964",Mitt Romney
AL,1,Alabama,1079,Lawrence County,AL Lawrence,34123,"39,6","9,0","14,0","18599,0",13728,"2,47","71,6","14,9","13,5","83560,0","-0,23","-0,06","0,57",GOP,8855,14079,"62,89509198096456",Mitt Romney
AL,1,Alabama,1081,Lee County,AL Lee,137345,"28,8","31,0","11,4","20044,0",56955,"2,34","55,5","34,3","10,2","130144,0","1,7","1,89","0,68",GOP,32062,54115,"59,247897995010625",Mitt Romney
AL,1,Alabama,1083,Limestone County,AL Limestone,78950,"38,6","19,5","10,4","20260,0",29454,"2,59","70,9","20,6","8,5","120814,0","1,9","1,9","0,5",GOP,25263,35406,"71,35231316725978",Mitt Romney
AL,1,Alabama,1089,Madison County,AL Madison,329008,"37,6","37,8","8,6","26614,0",132679,"2,42","62,4","26,7","10,9","144851,0","1,78","1,89","0,9",GOP,90679,154632,"58,641807646541466",Mitt Romney
AL,1,Alabama,1093,Marion County,AL Marion,29828,"41,3","9,6","16,5","18024,0",12481,"2,32","64,8","18,3","16,9","77385,0","-0,49","-0,36","0,61",GOP,9696,12104,"80,10575016523464",Mitt Romney
AL,1,Alabama,1095,Marshall County,AL Marshall,90261,"39,7","16,3","10,7","18842,0",35412,"2,52","64,7","21,5","13,9","106494,0","0,83","0,8","0,34",GOP,25785,32455,"79,4484671083038",Mitt Romney
AL,1,Alabama,1097,Mobile County,AL Mobile,410234,"35,9","19,7","13,3","19433,0",158459,"2,54","59,2","26,7","14,1","108842,0","0,2","0,35","0,59",GOP,94566,174189,"54,289306443001564",Mitt Romney
AL,1,Alabama,1099,Monroe County,AL Monroe,23425,"37,8","11,9","20,7","16894,0",9329,"2,49","60,5","15,1","24,5","70984,0","-0,53","-0,37","0,4",GOP,5730,10680,"53,651685393258425",Mitt Romney
AL,1,Alabama,1103,Morgan County,AL Morgan,117652,"39,2","21,0","12,4","21695,0",46820,"2,48","66,2","24,1","9,7","108009,0","0,6","0,67","0,57",GOP,35309,49198,"71,7691776088459",Mitt Romney
AL,1,Alabama,1107,Pickens County,AL Pickens,19854,"39,6","11,5","14,8","15905,0",7872,"2,5","62,6","16,2","21,2","78365,0","-0,59","-0,46","0,6",GOP,5119,9599,"53,32847171580373",Mitt Romney
AL,1,Alabama,1109,Pike County,AL Pike,30173,"33,6","21,7","11,4","16733,0",12391,"2,32","54,5","26,9","18,6","78828,0","0,01","0,15","0,74",GOP,7939,14057,"56,47719997154443",Mitt Romney
AL,1,Alabama,1111,Randolph County,AL Randolph,22785,"39,6","12,1","15,1","16558,0",8984,"2,47","63,5","16,6","19,9","84874,0","-0,07","0,04","0,51",GOP,7219,10391,"69,47358290828602",Mitt Romney
AL,1,Alabama,1115,St. Clair County,AL St. Clair,83854,"39,2","13,0","11,5","19363,0",30532,"2,68","70,4","13,9","15,7","117666,0","2,68","2,62","0,4",GOP,29001,35105,"82,61216350947159",Mitt Romney
AL,1,Alabama,1117,Shelby County,AL Shelby,196034,"37,0","40,1","8,6","34642,0",75486,"2,58","73,6","17,3","9,1","194086,0","2,45","2,5","0,74",GOP,71243,92204,"77,26671294087025",Mitt Romney
AL,1,Alabama,1121,Talladega County,AL Talladega,80412,"39,2","13,2","15,0","17849,0",31251,"2,46","64,7","20,2","15,1","84871,0","-0,04","0,03","0,5",GOP,19217,33317,"57,679262838791004",Mitt Romney
AL,1,Alabama,1123,Tallapoosa County,AL Tallapoosa,40715,"42,5","16,6","15,6","19487,0",16728,"2,36","58,7","18,1","23,2","86799,0","-0,3","-0,15","0,57",GOP,12303,18668,"65,90422112706236",Mitt Romney
AL,1,Alabama,1125,Tuscaloosa County,AL Tuscaloosa,181821,"34,7","27,1","11,2","21011,0",72168,"2,39","54,3","31,1","14,6","131679,0","0,98","1,1","0,61",GOP,45703,78495,"58,22409070641442",Mitt Romney
AL,1,Alabama,1127,Walker County,AL Walker,69270,"41,1","10,8","12,8","17762,0",28174,"2,42","65,8","16,6","17,6","78397,0","-0,23","-0,16","0,49",GOP,21633,28497,"75,91325402673965",Mitt Romney
AL,1,Alabama,1129,Washington County,AL Washington,17370,"37,2","8,7","14,9","16907,0",6668,"2,59","66,4","9,7","24,0","72233,0","-0,41","-0,23","0,53",GOP,5749,8761,"65,62036297226344",Mitt Romney
AL,1,Alabama,1133,Winston County,AL Winston,24124,"41,2","8,3","17,4","17699,0",10077,"2,36","61,0","15,1","23,8","74095,0","-0,4","-0,27","0,47",GOP,8310,9712,"85,56425041186161",Mitt Romney
AR,5,Arkansas,5017,Chicot County,AR Chicot,12325,"38,0","14,2","12,7","15666,0",4605,"2,51","53,1","23,7","23,2","54223,0","-1,38","-1,35","1,1",Dem,2649,4361,"60,74294886493924",Barack Obama
AR,5,Arkansas,5035,Crittenden County,AR Crittenden,53699,"33,8","15,2","12,0","19215,0",19990,"2,65","52,4","34,7","13,0","77862,0","0,49","0,63","0,84",Dem,9092,15513,"58,608908657255206",Barack Obama
AR,5,Arkansas,5041,Desha County,AR Desha,13843,"37,8","13,5","10,6","16788,0",5464,"2,51","51,8","29,6","18,6","57153,0","-1,0","-0,9","0,93",Dem,2353,4240,"55,49528301886792",Barack Obama
AR,5,Arkansas,5069,Jefferson County,AR Jefferson,79931,"36,5","18,3","11,8","19270,0",29322,"2,54","54,9","28,3","16,8","73240,0","-0,64","-0,59","0,71",Dem,17456,27364,"63,791843297763485",Barack Obama
AR,5,Arkansas,5077,Lee County,AR Lee,11376,"35,8","9,1","14,1","14039,0",3862,"2,5","48,5","28,4","23,0","53427,0","-0,98","-0,97","1,31",Dem,2107,3424,"61,53621495327103",Barack Obama
AR,5,Arkansas,5107,Phillips County,AR Phillips,23098,"34,0","15,0","14,1","15140,0",8671,"2,63","45,3","35,4","19,3","57080,0","-1,35","-1,25","1,08",Dem,5179,7900,"65,55696202531645",Barack Obama
AR,5,Arkansas,5119,Pulaski County,AR Pulaski,384681,"36,9","31,0","7,9","27521,0",159706,"2,35","54,0","35,3","10,6","105369,0","0,62","0,71","1,32",Dem,87055,159055,"54,73263965295024",Barack Obama
AR,5,Arkansas,5123,St. Francis County,AR Saint Francis,28744,"34,8","11,6","13,4","15269,0",9379,"2,59","52,1","30,8","17,2","67290,0","-0,91","-0,96","1,06",Dem,4652,8021,"57,997755890786685",Barack Obama
AR,5,Arkansas,5147,Woodruff County,AR Woodruff,7407,"40,9","10,0","13,1","16272,0",3098,"2,35","48,2","25,5","26,3","44570,0","-1,61","-1,46","1,17",Dem,1340,2685,"49,906890130353815",Barack Obama
AR,5,Arkansas,5001,Arkansas County,AR Arkansas,19319,"41,1","14,4","17,4","20243,0",8035,"2,36","55,9","26,3","17,9","69788,0","-0,73","-0,64","0,71",GOP,3892,6488,"59,98766954377312",Mitt Romney
AR,5,Arkansas,5003,Ashley County,AR Ashley,22667,"38,6","11,9","10,3","19520,0",8985,"2,5","63,6","20,3","16,1","66549,0","-0,67","-0,56","0,7",GOP,4866,7915,"61,47820593809223",Mitt Romney
AR,5,Arkansas,5005,Baxter County,AR Baxter,42378,"52,0","14,7","8,3","22220,0",19153,"2,18","67,6","17,9","14,5","118998,0","0,74","0,83","0,89",GOP,13688,19339,"70,77925435648172",Mitt Romney
AR,5,Arkansas,5007,Benton County,AR Benton,220516,"37,0","23,0","6,7","24912,0",82726,"2,64","64,3","24,9","10,8","134857,0","2,75","2,71","1,71",GOP,53477,77525,"68,98032892615285",Mitt Romney
AR,5,Arkansas,5009,Boone County,AR Boone,37050,"42,0","14,6","7,6","20402,0",15411,"2,37","65,0","24,3","10,8","110931,0","0,69","0,8","0,95",GOP,11143,15363,"72,53140662630996",Mitt Romney
AR,5,Arkansas,5011,Bradley County,AR Bradley,11731,"40,6","14,4","9,7","17209,0",4554,"2,41","54,3","21,1","24,6","59912,0","-0,7","-0,66","1,19",GOP,2118,3634,"58,28288387451844",Mitt Romney
AR,5,Arkansas,5013,Calhoun County,AR Calhoun,5559,"42,7","7,3","7,7","19369,0",2308,"2,36","58,3","13,0","28,6","52086,0","-0,53","-0,39","1,01",GOP,1458,2174,"67,0653173873045",Mitt Romney
AR,5,Arkansas,5015,Carroll County,AR Carroll,28037,"42,6","16,3","6,8","19666,0",11316,"2,46","62,5","22,9","14,6","119062,0","0,52","0,51","1,03",GOP,6121,10172,"60,17499016909162",Mitt Romney
AR,5,Arkansas,5019,Clark County,AR Clark,23958,"34,3","23,0","7,8","18531,0",9136,"2,36","56,1","29,7","14,2","88113,0","0,07","0,13","0,87",GOP,4343,8406,"51,665477040209375",Mitt Romney
AR,5,Arkansas,5021,Clay County,AR Clay,16164,"42,1","9,1","11,9","17613,0",6872,"2,33","58,8","20,1","21,1","54228,0","-1,03","-0,99","0,9",GOP,3225,5110,"63,111545988258314",Mitt Romney
AR,5,Arkansas,5023,Cleburne County,AR Cleburne,25516,"47,7","16,2","6,4","21959,0",10992,"2,3","57,2","14,3","28,4","111416,0","0,15","0,23","0,85",GOP,8691,11643,"74,64570986859057",Mitt Romney
AR,5,Arkansas,5025,Cleveland County,AR Cleveland,8678,"40,0","11,7","8,2","19039,0",3369,"2,56","66,8","14,9","18,3","67750,0","-0,54","-0,47","0,7",GOP,2313,3266,"70,82057562767912",Mitt Romney
AR,5,Arkansas,5027,Columbia County,AR Columbia,24425,"38,3","19,6","11,5","19222,0",9631,"2,41","57,8","23,7","18,5","67091,0","-0,63","-0,57","0,87",GOP,5790,9455,"61,2374405076679",Mitt Romney
AR,5,Arkansas,5029,Conway County,AR Conway,20860,"40,5","13,6","7,6","19735,0",8329,"2,46","66,4","19,0","14,6","85085,0","0,08","0,18","0,76",GOP,4511,7724,"58,40238218539617",Mitt Romney
AR,5,Arkansas,5031,Craighead County,AR Craighead,94875,"35,2","24,0","8,5","22044,0",37804,"2,45","58,9","33,4","7,7","93575,0","1,55","1,61","0,76",GOP,20044,31207,"64,22917935078668",Mitt Romney
AR,5,Arkansas,5033,Crawford County,AR Crawford,60971,"36,9","11,4","9,5","19148,0",22898,"2,64","69,4","22,4","8,2","95839,0","1,21","1,29","0,7",GOP,15125,20562,"73,55801964789417",Mitt Romney
AR,5,Arkansas,5037,Cross County,AR Cross,19076,"38,1","11,8","10,3","18778,0",7430,"2,53","62,9","25,8","11,3","75365,0","-0,32","-0,18","0,93",GOP,4268,6680,"63,89221556886228",Mitt Romney
AR,5,Arkansas,5039,Dallas County,AR Dallas,8205,"41,0","11,6","12,1","17343,0",3183,"2,43","51,6","18,4","30,0","48153,0","-1,09","-1,05","1,05",GOP,1664,3083,"53,97340253000324",Mitt Romney
AR,5,Arkansas,5043,Drew County,AR Drew,18691,"35,5","20,2","12,4","20225,0",7490,"2,4","58,1","26,3","15,5","74894,0","-0,09","0,04","0,93",GOP,3883,6626,"58,6024750980984",Mitt Romney
AR,5,Arkansas,5045,Faulkner County,AR Faulkner,110794,"32,5","28,2","8,0","23258,0",41537,"2,53","62,8","29,6","7,6","118726,0","2,09","2,29","1,46",GOP,26653,41322,"64,50075020570156",Mitt Romney
AR,5,Arkansas,5047,Franklin County,AR Franklin,18427,"40,0","13,0","7,4","18221,0",7247,"2,48","68,5","19,7","11,8","82603,0","0,08","0,16","0,76",GOP,4631,6539,"70,82122648723046",Mitt Romney
AR,5,Arkansas,5049,Fulton County,AR Fulton,11629,"46,4","12,4","8,7","18262,0",4879,"2,36","61,6","14,8","23,6","84322,0","-0,04","0,04","0,83",GOP,2949,4522,"65,21450685537373",Mitt Romney
AR,5,Arkansas,5051,Garland County,AR Garland,98758,"46,2","20,6","8,9","22646,0",41742,"2,32","59,6","24,4","16,0","106181,0","1,09","1,05","0,69",GOP,25031,39241,"63,787874926734794",Mitt Romney
AR,5,Arkansas,5053,Grant County,AR Grant,17592,"39,6","12,9","7,0","21025,0",6786,"2,57","68,8","17,0","14,1","81397,0","0,46","0,55","0,98",GOP,4829,6478,"74,54461253473295",Mitt Romney
AR,5,Arkansas,5055,Greene County,AR Greene,41398,"38,8","12,9","11,0","19667,0",16582,"2,46","63,6","25,6","10,8","96371,0","0,8","0,87","0,79",GOP,9066,13754,"65,91537007416025",Mitt Romney
AR,5,Arkansas,5057,Hempstead County,AR Hempstead,23991,"37,1","13,1","11,3","17003,0",9145,"2,59","59,6","26,6","13,8","72169,0","-0,34","-0,35","0,66",GOP,4284,6919,"61,91646191646192",Mitt Romney
AR,5,Arkansas,5059,Hot Spring County,AR Hot Spring,32307,"40,8","13,1","8,1","18549,0",12556,"2,47","68,7","19,9","11,4","82926,0","0,07","0,14","0,6",GOP,7087,11239,"63,05721149568467",Mitt Romney
AR,5,Arkansas,5061,Howard County,AR Howard,14333,"38,4","13,8","9,6","18575,0",5581,"2,5","60,1","23,3","16,5","78809,0","-0,17","-0,08","0,92",GOP,2862,4419,"64,76578411405295",Mitt Romney
AR,5,Arkansas,5063,Independence County,AR Independence,34975,"40,2","16,0","9,6","20274,0",14022,"2,43","65,6","22,7","11,7","84749,0","-0,03","0,07","0,79",GOP,8724,12390,"70,41162227602905",Mitt Romney
AR,5,Arkansas,5065,Izard County,AR Izard,13167,"46,8","13,7","9,0","17535,0",5490,"2,26","61,9","15,8","22,3","81923,0","-0,08","0,0","1,01",GOP,3571,5313,"67,21249764728026",Mitt Romney
AR,5,Arkansas,5067,Jackson County,AR Jackson,17106,"39,7","12,4","8,7","17543,0",6405,"2,35","55,9","24,6","19,5","56606,0","-0,91","-0,93","0,98",GOP,3065,5338,"57,418508804795806",Mitt Romney
AR,5,Arkansas,5071,Johnson County,AR Johnson,25202,"38,6","15,8","9,4","17448,0",9686,"2,54","63,8","23,4","12,8","86689,0","0,63","0,65","0,9",GOP,5045,8064,"62,56200396825397",Mitt Romney
AR,5,Arkansas,5073,Lafayette County,AR Lafayette,7798,"42,5","11,5","11,4","17700,0",3220,"2,38","52,8","14,8","32,4","47481,0","-1,03","-0,9","0,83",GOP,1712,2928,"58,46994535519126",Mitt Romney
AR,5,Arkansas,5075,Lawrence County,AR Lawrence,17228,"40,4","8,5","9,0","17207,0",6960,"2,39","60,2","24,4","15,4","63343,0","-0,42","-0,36","0,83",GOP,3535,5537,"63,84323640960809",Mitt Romney
AR,5,Arkansas,5079,Lincoln County,AR Lincoln,14228,"35,8","9,3","9,5","15620,0",4181,"2,55","60,8","19,5","19,7","62426,0","-0,5","-0,51","1,03",GOP,2199,3725,"59,033557046979865",Mitt Romney
AR,5,Arkansas,5081,Little River County,AR Little River,13326,"40,0","9,9","8,6","19659,0",5473,"2,4","62,6","19,4","18,0","71022,0","-0,3","-0,18","0,72",GOP,3385,5051,"67,01643238962582",Mitt Romney
AR,5,Arkansas,5083,Logan County,AR Logan,22806,"40,4","11,2","9,1","17656,0",8950,"2,5","64,8","19,6","15,6","78981,0","-0,16","-0,09","0,9",GOP,5078,7330,"69,27694406548432",Mitt Romney
AR,5,Arkansas,5085,Lonoke County,AR Lonoke,67762,"36,4","16,7","7,1","22810,0",25304,"2,65","69,6","22,2","8,1","107939,0","1,48","1,6","1,26",GOP,17863,24083,"74,17265290869078",Mitt Romney
AR,5,Arkansas,5087,Madison County,AR Madison,15543,"40,7","12,1","6,5","16766,0",6025,"2,57","63,5","17,1","19,4","88313,0","0,42","0,47","1,05",GOP,4262,6567,"64,90025887010812",Mitt Romney
AR,5,Arkansas,5089,Marion County,AR Marion,17240,"48,1","12,1","11,3","18191,0",7317,"2,34","63,5","16,2","20,2","101304,0","0,19","0,24","0,87",GOP,4771,7029,"67,87594252382985",Mitt Romney
AR,5,Arkansas,5091,Miller County,AR Miller,43729,"37,0","14,6","7,2","20445,0",17291,"2,47","58,2","28,2","13,7","82958,0","0,43","0,55","0,77",GOP,10622,15329,"69,29349598799661",Mitt Romney
AR,5,Arkansas,5093,Mississippi County,AR Mississippi,47496,"34,2","13,6","12,7","17854,0",17991,"2,59","47,1","33,5","19,4","70263,0","-0,79","-0,71","0,88",GOP,6599,13349,"49,434414562888605",Mitt Romney
AR,5,Arkansas,5095,Monroe County,AR Monroe,9120,"40,6","10,3","8,5","16142,0",3713,"2,42","46,8","25,2","27,9","52588,0","-1,15","-1,07","1,07",GOP,1585,3230,"49,07120743034056",Mitt Romney
