Bug ID,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
71223747,1,0,1,0,1
61706535,0,1,1,1,0
50920908,1,1,1,0,1
69137834,1,1,1,0,1
66489112,1,1,1,1,1
65889068,1,0,1,1,1
64576751,1,1,1,1,1
55142951,1,0,0,0,1
68011125,1,1,1,1,1
66524542,0,1,0,1,1
63073170,1,1,1,1,1
65228352,1,1,1,1,1
63206710,0,1,1,1,1
72845812,1,1,1,1,1
45711636,1,1,1,1,0
73349963,1,1,1,1,1
74610068,1,1,1,1,1
59278771,1,0,1,1,1
76186890,1,1,1,1,1
55731589,1,1,1,1,0
73276139,1,1,0,1,1
55955130,1,1,1,1,0
70233512,1,1,0,1,1
67764431,0,1,1,1,0
70316929,0,1,1,0,1
43464835,1,1,1,1,1
41651628,0,1,1,1,1
71652014,1,1,0,1,1
73266661,1,0,1,1,0
63204176,1,0,0,0,0
48934338,1,0,1,1,1
51930566,1,1,1,1,1
50306988,1,1,1,1,1
31880720,1,1,1,1,1
71457035,1,1,1,1,1
63176966,1,1,1,1,1
65992364,1,0,1,1,1
66818548,1,1,1,1,1
48251943,1,1,1,1,1
69284837,1,1,0,1,1
