Type of Bug,Bug ID,Code,Text
API Bug,71223747,"import torch a1, a2 = torch.tensor([1,2], dtype = torch.float64) b = torch.rand(2, requires_grad = True) a1 += b.sum() RuntimeError: A view was created in no_grad mode and is being modified inplace with grad mode enabled. This view is the output of a function that returns multiple views. Such functions do not allow the output views to be modified inplace. You should replace the inplace operation by an out-of-place one. a1 = torch.tensor([1], dtype = torch.float64) a1 += b.sum()","I have an error when modifying an unpacked tensor. This code produces the following error: However, I didn't receive that error when I created a1 and a2 separately as follows: I have no idea why unpacking a tensor would lead to that error. Any help is greatly appreciated"
API Bug,61706535,"train_test_split() model.fit(X_train, y_train, validation_data=[X_val, y_val])","I am trying to train a simple 2 layer Fully Connected neural net for Binary Classification in Tensorflow keras. I have split my data into Training and Validation sets with a 80-20 split using sklearn's . When I call , it shows 0 validation loss and accuracy for all epochs, but it trains just fine. Also, when I try to evaluate it on the validation set, the output is non-zero. Can someone please explain why I am facing this 0 loss 0 accuracy error on validation. Thanks for your help. Here is the complete sample code (MCVE) for this error: https://colab.research.google.com/drive/1P8iCUlnD87vqtuS5YTdoePcDOVEKpBHr?usp=sharing"
API Bug,50920908,"model.compile(optimizer='adam', loss='categorical_crossentropy', metrics=['accuracy']) model.fit(X_train, y_train, batch_size=batch_size, epochs=epochs, verbose=1, callbacks=[checkpoint], validation_data=(X_test, y_test)) # starts training X_test Out[25]: array([[621, 139, 549, ..., 0, 0, 0], [621, 139, 543, ..., 0, 0, 0]]) y_test Out[26]: array([[0, 0, 1], [0, 1, 0]]) predictions = model.predict(X_test) predictions Out[27]: array([[ 0.29071924, 0.2483743 , 0.46090645], [ 0.29566404, 0.45295066, 0.25138539]], dtype=float32) y_pred = (predictions &gt; 0.5) confusion_matrix(y_test, y_pred) Traceback (most recent call last): File ""&lt;ipython-input-38-430e012b2078&gt;"", line 1, in &lt;module&gt; confusion_matrix(y_test, y_pred) File ""/Users/abrahammathew/anaconda3/lib/python3.6/site-packages/sklearn/metrics/classification.py"", line 252, in confusion_matrix raise ValueError(""%s is not supported"" % y_type) ValueError: multilabel-indicator is not supported","I am building a multiclass model with Keras. Here is how my test data looks like (it's text data). After generating predictions... I did the following to get the confusion matrix. However, I am getting the above error. How can I get a confusion matrix when doing a multiclass neural network in Keras?"
API Bug,69137834,"x_train : float32 0.0 1.0 (2444, 64, 64, 1) y_train : float32 0.0 1.0 (2444, 2) x_test : float32 0.0 1.0 (9123, 64, 64, 1) y_test : float32 0.0 1.0 (9123, 2) inputs = keras.Input(shape=(64,64,1), dtype='float32') x = keras.layers.Conv2D(12,(9,9), padding=&quot;same&quot;,input_shape=(64,64,1), dtype='float32',activation='relu')(inputs) x = keras.layers.Conv2D(18,(7,7), padding=&quot;same&quot;, activation='relu')(x) x = keras.layers.MaxPool2D(pool_size=(2,2))(x) x = keras.layers.Dropout(0.25)(x) x = keras.layers.Dense(50, activation='relu')(x) x = keras.layers.Dropout(0.4)(x) outputs = keras.layers.Dense(2, activation='softmax')(x) model = keras.Model(inputs, outputs) Model: &quot;model_1&quot; _________________________________________________________________ Layer (type) Output Shape Param # ================================================================= input_2 (InputLayer) [(None, 64, 64, 1)] 0 _________________________________________________________________ conv2d_2 (Conv2D) (None, 64, 64, 12) 984 _________________________________________________________________ conv2d_3 (Conv2D) (None, 64, 64, 18) 10602 _________________________________________________________________ max_pooling2d_1 (MaxPooling2 (None, 32, 32, 18) 0 _________________________________________________________________ dropout_2 (Dropout) (None, 32, 32, 18) 0 _________________________________________________________________ dense_2 (Dense) (None, 32, 32, 50) 950 _________________________________________________________________ dropout_3 (Dropout) (None, 32, 32, 50) 0 _________________________________________________________________ dense_3 (Dense) (None, 32, 32, 2) 102 ================================================================= Total params: 12,638 Trainable params: 12,638 Non-trainable params: 0 ________________________ model.compile( loss=keras.losses.SparseCategoricalCrossentropy(), optimizer=keras.optimizers.Adam(0.01), metrics=[&quot;acc&quot;], ) model.fit(x_train, y_train, batch_size=32, epochs = 20, validation_split= 0.3, callbacks=[tf.keras.callbacks.EarlyStopping(monitor='val_loss', patience=3)]) ValueError Traceback (most recent call last) &lt;ipython-input-31-e4cade46a08c&gt; in &lt;module&gt;() 1 model.fit(x_train, y_train, batch_size=32, epochs = 20, validation_split= 0.3, ----&gt; 2 callbacks=[tf.keras.callbacks.EarlyStopping(monitor='val_loss', patience=3)]) 9 frames /usr/local/lib/python3.7/dist-packages/tensorflow/python/framework/func_graph.py in wrapper(*args, **kwargs) 992 except Exception as e: # pylint:disable=broad-except 993 if hasattr(e, &quot;ag_error_metadata&quot;): --&gt; 994 raise e.ag_error_metadata.to_exception(e) 995 else: 996 raise ValueError: in user code: /usr/local/lib/python3.7/dist-packages/keras/engine/training.py:853 train_function * return step_function(self, iterator) /usr/local/lib/python3.7/dist-packages/keras/engine/training.py:842 step_function ** outputs = model.distribute_strategy.run(run_step, args=(data,)) /usr/local/lib/python3.7/dist-packages/tensorflow/python/distribute/distribute_lib.py:1286 run return self._extended.call_for_each_replica(fn, args=args, kwargs=kwargs) /usr/local/lib/python3.7/dist-packages/tensorflow/python/distribute/distribute_lib.py:2849 call_for_each_replica return self._call_for_each_replica(fn, args, kwargs) /usr/local/lib/python3.7/dist-packages/tensorflow/python/distribute/distribute_lib.py:3632 _call_for_each_replica return fn(*args, **kwargs) /usr/local/lib/python3.7/dist-packages/keras/engine/training.py:835 run_step ** outputs = model.train_step(data) /usr/local/lib/python3.7/dist-packages/keras/engine/training.py:792 train_step self.compiled_metrics.update_state(y, y_pred, sample_weight) /usr/local/lib/python3.7/dist-packages/keras/engine/compile_utils.py:457 update_state metric_obj.update_state(y_t, y_p, sample_weight=mask) /usr/local/lib/python3.7/dist-packages/keras/utils/metrics_utils.py:73 decorated update_op = update_state_fn(*args, **kwargs) /usr/local/lib/python3.7/dist-packages/keras/metrics.py:177 update_state_fn return ag_update_state(*args, **kwargs) /usr/local/lib/python3.7/dist-packages/keras/metrics.py:681 update_state ** matches = ag_fn(y_true, y_pred, **self._fn_kwargs) /usr/local/lib/python3.7/dist-packages/tensorflow/python/util/dispatch.py:206 wrapper return target(*args, **kwargs) /usr/local/lib/python3.7/dist-packages/keras/metrics.py:3537 sparse_categorical_accuracy return tf.cast(tf.equal(y_true, y_pred), backend.floatx()) /usr/local/lib/python3.7/dist-packages/tensorflow/python/util/dispatch.py:206 wrapper return target(*args, **kwargs) /usr/local/lib/python3.7/dist-packages/tensorflow/python/ops/math_ops.py:1864 equal return gen_math_ops.equal(x, y, name=name) /usr/local/lib/python3.7/dist-packages/tensorflow/python/ops/gen_math_ops.py:3219 equal name=name) /usr/local/lib/python3.7/dist-packages/tensorflow/python/framework/op_def_library.py:750 _apply_op_helper attrs=attr_protos, op_def=op_def) /usr/local/lib/python3.7/dist-packages/tensorflow/python/framework/func_graph.py:601 _create_op_internal compute_device) /usr/local/lib/python3.7/dist-packages/tensorflow/python/framework/ops.py:3569 _create_op_internal op_def=op_def) /usr/local/lib/python3.7/dist-packages/tensorflow/python/framework/ops.py:2042 __init__ control_input_ops, op_def) /usr/local/lib/python3.7/dist-packages/tensorflow/python/framework/ops.py:1883 _create_c_op raise ValueError(str(e)) ValueError: Dimensions must be equal, but are 2 and 32 for '{{node Equal}} = Equal[T=DT_FLOAT, incompatible_shape_error=true](IteratorGetNext:1, Cast_1)' with input shapes: [?,2], [?,32,32].",I was trying to train a simple Keras network for classification when I faced the following error. I know there is something wrong with my inputs but I couldn't figure out how to fix it. Here is my code my data set shape : the model : model summary : compiler and fitter which error occurs when I wanna fit the model and finally the error:
API Bug,66489112,"TypeError: __init__() got an unexpected keyword argument 'filepath' File &quot;train.py&quot;, line 167, in &lt;module&gt; main(args) File &quot;train.py&quot;, line 113, in main checkpoint_callback=checkpoint_callback(), File &quot;train.py&quot;, line 86, in checkpoint_callback return ModelCheckpoint( TypeError: __init__() got an unexpected keyword argument 'filepath' from pytorch_lightning.callbacks import ModelCheckpoint save_model_path = path/to/your/dir def checkpoint_callback(): return ModelCheckpoint( filepath= save_model_path, save_top_k=True, verbose=True, monitor='val_loss', mode='min', prefix='' )",I don't know how to solve this error but I hope some of you guys know how to solve this issue. Error: Full error message:
API Bug,65889068,"#Import Libraries from keras.models import Sequential from keras.layers import Dense, Conv2D, MaxPool2D , Flatten from keras.optimizers import SGD #model details vgg19 = Sequential() vgg19.add(Conv2D(input_shape=(224,224,3),filters=64,kernel_size=(3,3),padding=&quot;same&quot;, activation=&quot;relu&quot;)) vgg19.add(Conv2D(filters=64,kernel_size=(3,3),padding=&quot;same&quot;, activation=&quot;relu&quot;)) vgg19.add(MaxPool2D(pool_size=(2,2),strides=(2,2))) vgg19.add(Conv2D(filters=128, kernel_size=(3,3), padding=&quot;same&quot;, activation=&quot;relu&quot;)) vgg19.add(Conv2D(filters=128, kernel_size=(3,3), padding=&quot;same&quot;, activation=&quot;relu&quot;)) vgg19.add(MaxPool2D(pool_size=(2,2),strides=(2,2))) vgg19.add(Conv2D(filters=256, kernel_size=(3,3), padding=&quot;same&quot;, activation=&quot;relu&quot;)) vgg19.add(Conv2D(filters=256, kernel_size=(3,3), padding=&quot;same&quot;, activation=&quot;relu&quot;)) vgg19.add(Conv2D(filters=256, kernel_size=(3,3), padding=&quot;same&quot;, activation=&quot;relu&quot;)) vgg19.add(MaxPool2D(pool_size=(2,2),strides=(2,2))) vgg19.add(Conv2D(filters=512, kernel_size=(3,3), padding=&quot;same&quot;, activation=&quot;relu&quot;)) vgg19.add(Conv2D(filters=512, kernel_size=(3,3), padding=&quot;same&quot;, activation=&quot;relu&quot;)) vgg19.add(Conv2D(filters=512, kernel_size=(3,3), padding=&quot;same&quot;, activation=&quot;relu&quot;)) vgg19.add(MaxPool2D(pool_size=(2,2),strides=(2,2))) vgg19.add(Conv2D(filters=512, kernel_size=(3,3), padding=&quot;same&quot;, activation=&quot;relu&quot;)) vgg19.add(Conv2D(filters=512, kernel_size=(3,3), padding=&quot;same&quot;, activation=&quot;relu&quot;)) vgg19.add(Conv2D(filters=512, kernel_size=(3,3), padding=&quot;same&quot;, activation=&quot;relu&quot;)) vgg19.add(MaxPool2D(pool_size=(2,2),strides=(2,2))) vgg19.add(Flatten()) vgg19.add(Dense(units=4096,activation=&quot;relu&quot;)) vgg19.add(Dense(units=4096,activation=&quot;relu&quot;)) vgg19.add(Dense(units=10, activation=&quot;softmax&quot;)) #Preparing Dataset from keras.datasets import cifar10 from keras.utils import to_categorical (X, Y), (tsX, tsY) = cifar10.load_data() # Use a one-hot-encoding Y = to_categorical(Y) tsY = to_categorical(tsY) # Change datatype to float X = X.astype('float32') tsX = tsX.astype('float32') # Scale X and tsX so each entry is between 0 and 1 X = X / 255.0 tsX = tsX / 255.0 #training optimizer = SGD(lr=0.001, momentum=0.9) vgg19.compile(optimizer=optimizer, loss='categorical_crossentropy', metrics=['accuracy']) history = vgg19.fit(X, Y, epochs=100, batch_size=64, validation_data=(tsX, tsY), verbose=0) value error ValueError: Input 0 of layer dense_9 is incompatible with the layer: expected axis -1 of input shape to have value 25088 but received input with shape (None, 512)","I am trying to run the Keras tutorial mentioned below in python: Upon training the model, I am getting the below mentioned : Please suggest, how to fix the input shape and would be better if someone can provide a brief explanation of the issue. Thanks in advance!"
API Bug,64576751,"Price Beds SqFt Built Garage FullBaths HalfBaths LotSqFt 485000 3 2336 2004 2 2.0 1.0 2178.0 430000 4 2106 2005 2 2.0 1.0 2178.0 445000 3 1410 1999 1 2.0 0.0 3049.0 ... TypeError: unsupported operand type(s) for +=: 'Dense' and 'str' print(df.dtypes) ## Output #Price int64 #Beds int64 #SqFt int64 #Built int64 #Garage int64 #FullBaths float64 #HalfBaths float64 #LotSqFt float64 #dtype: object dataset = df.values X = dataset[:, 1:8] Y = dataset[:,0] ## Normalize X-Values from sklearn import preprocessing min_max_scaler = preprocessing.MinMaxScaler() X_scale = min_max_scaler.fit_transform(X) X_scale ##Partition Data from sklearn.model_selection import train_test_split X_train, X_val_and_test, Y_train, Y_val_and_test = train_test_split(X_scale, Y, test_size=0.3) X_val, X_test, Y_val, Y_test = train_test_split(X_val_and_test, Y_val_and_test, test_size=0.5) print(X_train.shape, X_val.shape, X_test.shape, Y_train.shape, Y_val.shape, Y_test.shape) from keras.models import Sequential from keras.layers import Dense model = Sequential( Dense(32, activation='relu', input_shape=(7,)), Dense(1, activation='linear')) model.compile(optimizer='sgd', loss='mse', metrics=['mean_squared_error']) model.evaluate(X_test, Y_test)[1] ##Type Error is here!","I am trying to use a neural network to predict the price of houses. Here is what the top of the dataset looks like: I am using the ReLU activation function. When I try to evaluate my model on my test data, I get this . I looked at the types of the columns from my original dataframe, and everything looks fine. I'm not sure if I am messing something up in my neural network to cause this error. Any help is appreciated! Here is my code for reference. Prepare Data for Network Begin Model Building"
API Bug,55142951,"sess = tf.Session() Traceback (most recent call last): File &quot;&lt;stdin&gt;&quot;, line 1, in &lt;module&gt; AttributeError: module 'tensorflow' has no attribute 'Session'","When I am executing the command in Tensorflow 2.0 environment, I am getting an error message as below: System Information: OS Platform and Distribution: Windows 10 Python Version: 3.7.1 Tensorflow Version: 2.0.0-alpha0 (installed with pip) Steps to reproduce: Installation: pip install --upgrade pip pip install tensorflow==2.0.0-alpha0 pip install keras pip install numpy==1.16.2 Execution: Execute command: import tensorflow as tf Execute command: sess = tf.Session()"
API Bug,68011125,"TypeError: forward() takes 2 positional arguments but 4 were given. class DenseLayer(nn.Module): def __init__(self, in_size, out_size, drop_rate=0.0): super(DenseLayer, self).__init__() self.bottleneck = nn.Sequential() # define bottleneck layers self.bottleneck.add_module('btch1', nn.BatchNorm2d(in_size)) self.bottleneck.add_module('relu1', nn.ReLU(inplace=True)) self.bottleneck.add_module('conv1', nn.ConvTranspose2d(in_size, int(out_size/4), kernel_size=1, stride=1, padding=0, bias=False)) self.basic = nn.Sequential() # define basic block self.basic.add_module('btch2', nn.BatchNorm2d(int(out_size/4))) self.basic.add_module('relu2', nn.ReLU(inplace=True)) self.basic.add_module('conv2', nn.ConvTranspose2d(int(out_size/4), out_size, kernel_size=3, stride=1, padding=1, bias=False)) self.droprate = drop_rate def forward(self, input): out = self.bottleneck(input) if self.droprate &gt; 0: out = F.dropout(out, p=self.droprate, inplace=False, training=self.training) out = self.basic(out) if self.droprate &gt; 0: out = F.dropout(out, p=self.droprate, inplace=False, training=self.training) return torch.cat((x,out), 1) class DenseBlock(nn.Module): def __init__(self, num_layers, in_size, growth_rate, block, droprate=0.0): super(DenseBlock, self).__init__() self.layer = self._make_layer(block, in_size, growth_rate, num_layers, droprate) def _make_layer(self, block, in_size, growth_rate, num_layers, droprate): layers = [] for i in range(num_layers): layers.append(block(in_size, in_size-i*growth_rate, droprate)) return nn.Sequential(*layers) def forward(self, input): return self.layer(input) class MGenDenseNet(nn.Module): def __init__(self, ngpu, growth_rate=32, block_config=(16,24,12,6), in_size=1024, drop_rate=0.0): super(MGenDenseNet, self).__init__() self.ngpu = ngpu self.features = nn.Sequential() self.features.add_module('btch0', nn.BatchNorm2d(in_size)) block = DenseLayer num_features = in_size for i, num_layers in enumerate(block_config): block = DenseBlock(num_layers=num_layers, in_size=num_features, growth_rate=growth_rate, block=block, droprate=drop_rate) ### Error thrown on this line self.features.add_module('denseblock{}'.format(i+1), block) num_features -= num_layers*growth_rate if i!=len(block_config)-1: trans = TransitionLayer(in_size=num_features, out_size=num_features*2, drop_rate=drop_rate) self.features.add_module('transitionblock{}'.format(i+1), trans) num_features *= 2 self.features.add_module('convfinal', nn.ConvTranspose2d(num_features, 3, kernel_size=7, stride=2, padding=3, bias=False)) self.features.add_module('Tanh', nn.Tanh()) def forward(self, input): return self.features(input) mGen = MGenDenseNet(ngpu).to(device) mGen.apply(weights_init) print(mGen)",I am trying to write a GAN generator based on Densenet and Deconv method. I am new to PyTorch and unable to figure out I tried the approach as suggested in Pytorch TypeError: forward() takes 2 positional arguments but 4 were given but I cannot figure out the solution. My code:
API Bug,66524542,"bert_model = BertModel.from_pretrained(r'downloads\bert-pretrained-model') input_ids tensor([[ 101, 156, 13329, ..., 0, 0, 0], [ 101, 156, 13329, ..., 0, 0, 0], [ 101, 1302, 1251, ..., 0, 0, 0], ..., [ 101, 25456, 1200, ..., 0, 0, 0], [ 101, 143, 9664, ..., 0, 0, 0], [ 101, 2586, 7340, ..., 0, 0, 0]]) last_hidden_state, pooled_output = bert_model( input_ids=encoding['input_ids'], attention_mask=encoding['attention_mask'] ) last_hidden_state.shape AttributeError Traceback (most recent call last) &lt;ipython-input-70-9628339f425d&gt; in &lt;module&gt; ----&gt; 1 last_hidden_state.shape AttributeError: 'str' object has no attribute 'shape'",AttributeError: 'str' object has no attribute 'shape' while encoding tensor using BertModel with PyTorch (Hugging Face). Below is the code Output is: Followed by code below Followed by code below Output is Complete Code link is 'https://colab.research.google.com/drive/1FY4WtqCi2CQ9RjHj4slZwtdMhwaWv2-2?usp=sharing'
